body,title,url
"Las autoridades de Israel decretaron el estado de máxima alerta este sábado tras el ataque a tiros que dejó siete muertos en Jerusalén, informó la Policía, que mató al agresor y ha arrestado a más de 40 de personas por este crimen, en medio de una escalada de violencia en la zona.",Siete personas murieron este viernes en un tiroteo en una sinagoga de JerusalÃ©n.,https://eltiempo.com/mundo/medio-oriente/israel-policia-detiene-a-42-personas-tras-ataque-a-sinagoga-737518
"Hay luto en la música colombiana. En la madrugada de este sábado falleció en Barranquilla el maestro Adolfo Pacheco, tras permanecer varios días internado en una UCI de la Clínica General del Norte. ""Comunicamos el sensible fallecimiento de nuestro maestro y juglar"", señaló en un comunicado la entidad.(Lea: ‘Hay Pacheco pa’ rato’: cumbia en homenaje al juglar de los Montes de María)",Adolfo Pacheco Anillo es un representante del folclor costeÃ±o.,https://eltiempo.com/colombia/barranquilla/fallecio-adolfo-pacheco-en-barranquilla-tras-accidente-de-transito-737520
"En las últimas horas se dio a conocer un nuevo video en Medellín en el que se ve a una mujer, literalmente, colgada de una mano mientras limpiaba en cuclillas una ventana de un piso alto en un edificio del centro de Medellín. (Lo invitamos a leer: Video: mujer arriesga su vida limpiando ventanas en un piso 12 de Medellín)Los hechos ocurrieron en la avenida La Playa, a la altura de la carrera Girardot, en un edificio residencial con más de 20 pisos de altura. La mujer se encontraba, aproximadamente, entre los niveles 10 y 15. ",Las imÃ¡genes se grabaron en el centro de MedellÃ­n.,https://eltiempo.com/colombia/medellin/video-mujer-se-cuelga-de-una-ventana-en-medellin-para-limpiarla-737548
"Cinco expolicías de la localidad de Memphis (Tennessee) están detenidos y se enfrentan a varios cargos criminales por haber matado de una paliza Tyre Nichols, un joven afroestadounidense al que detuvieron por una presunta infracción de tráfico, según muestran registros oficiales.(Además: Demócratas piden penalizar la publicidad de armas dirigida a menores de edad) Los acusados, todos afroestadounidenses, fueron expulsados del cuerpo de policía la semana pasada, después de que las autoridades determinaran que eran directamente responsables del fallecimiento del joven de 29 años, que tardó tres días en morir por las heridas que le causaron.",EFE/EPA/Departamento de Policía de Memphis,https://eltiempo.com/mundo/eeuu-y-canada/tyre-nichols-videos-de-la-golpiza-de-policias-a-joven-que-perdio-la-vida-737062
"Las tradicionales corralejas de Bosconia (Cesar) se convirtieron en un espectáculo de muerte.Esta festividad dejó como saldo una persona muerta, tras ser embestido por un toro de aproximadamente 500 kilos.(Puede interesarle: El mundo del folclor se despide del maestro Adolfo Pacheco Anillo)","Se trata de Nevier Romo, de oriundo de FundaciÃ³n (Magdalena).",https://eltiempo.com/colombia/otras-ciudades/en-bosconia-cesar-hombre-murio-por-corneada-de-un-toro-en-corraleja-737539
"












Melissa Múnera

12:00 a. m. 




Emergencia sanitaria en Barichara por bloqueos que impiden ingreso de basura



La situación se agudiza en 30 municipios de Santander por bloqueos en ...














Agencia

12:00 a. m. 




Denuncian a agencia de viajes en Tunja por presunta estafa de $150 millones



El director de operaciones de la Agencia Ceeport Travels &amp; Resorts ...
















Metro de Medellín

12:00 a. m. 




Metro de Medellín emitirá por primera vez bonos sostenibles















Homicidios

12:00 a. m. 




'El diablo me dijo que lo hiciera': estudiante mató a su compañera de pensión















Jamundí

10:35 p. m. 




Un hombre murió atropellado por un carro recolector de basura en Jamundí





",Un mágico refugio natural para adultos en Cartagena,https://eltiempo.com/contenido-comercial/un-magico-refugio-natural-para-adultos-en-cartagena-737125
"La mitad del cuerpo de un hombre quedó fuera de una camioneta Nissan Frontier NP 300 2016, color Naranja, luego de que recibiera varios impactos de bala en la tarde de este viernes, 27 de enero, en el norte de Barranquilla. (Le invitamos a leer: Testimonio clave sobre viaje de Valentina por el que Poulos andaba preguntando)Testigos aseguran que la víctima fue atacada por dos hombres en momentos en los que había detenido el vehículo de placas UUZ 717, frente a una vivienda en la carrera 65 con calle 74, del barrio La Concepción. ","El hombre de 44 aÃ±os, recibiÃ³ ocho impactos de bala dentro de un carro en Barranquilla. ",https://eltiempo.com/unidad-investigativa/barranquilla-asesinan-a-elkin-jose-romero-canizares-jose-pecueca-737500
"Al finalizar el año 2022, Colombia rompió la barrera de los 18 millones de vehículos en las cuentas de su parque automotor, de los cuales, el 61 por ciento son motocicletas y el 39 por ciento restante corresponde a automóviles, buses, camiones, camionetas y otro tipo de automotores, según el balance final del Registro Único Nacional de Tránsito, Runt.","En enero del aÃ±o pasado, mÃ¡s de cinco millones de licencias de conducciÃ³n se vencieron.",https://eltiempo.com/economia/sectores/carros-en-colombia-cuantos-hay-este-es-el-censo-del-parque-automotor-737443
"Tras la decisión del presidente Gustavo Petro de regular los servicios públicos, el Comité de Expertos de la Creg aseguró que los organismos reguladores siempre deben tener una naturaleza independiente para poder asegurar que sus decisiones sean objetivas, imparciales, consistentes y técnicas.(Puede leer también: Incertidumbre ronda en el sector eléctrico por anuncios de Petro)",El presidente Petro dijo que quiere recuperar facultades para controlar tarifas.,https://eltiempo.com/economia/sectores/creg-responde-a-petro-organos-reguladores-deben-ser-independientes-737533
"Las dietas de desintoxicación a menudo se promocionan como una forma de limpiar el cuerpo después del exceso de alimentos y bebidas que vienen con las vacaciones. Estas dietas prometen resultados rápidos y pueden atraer particularmente a las personas alrededor del nuevo año, cuando tiende a haber un enfoque renovado en los hábitos de salud y estilo de vida.",Algunas dietas âdetoxâ pueden traer problemas como deshidrataciÃ³n o deficiencia de nutrientes.,https://eltiempo.com/salud/el-cuerpo-no-necesita-un-detox-para-limpiarse-737373
