uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
c6f8298a4a6cfcc6efa8523df929bf11,"El Hay Festival de Cartagena cumple 18 años e inauguró esta edición por todo lo alto con un homenaje cinematográfico a la vida de uno de los cantantes más importantes de Iberoamérica: Joaquín Sabina.Sintiéndolo mucho, el documental que cuenta la vida del autor de 19 días y 500 noches, se estrenó en la Heroica, tras una animada charla de Andrés Mompotes, director de EL TIEMPO, y el director de la cinta, Fernando León de Aranoa, una de las voces más relevantes del cine español. La charla tuvo el apoyo de EL TIEMPO y Samsung.",César Alandete,https://eltiempo.com/cultura/musica-y-libros/fernando-leon-de-aranoa-quiero-transmitir-la-personalidad-de-joaquin-737139,eltiempo,eltiempo.com,2,42
2d50e789c6c48f374a35466118fdb1cb,"EL TIEMPO conoció el reporte completo de la necropsia de la DJ Valentina Trespalacios, presuntamente asesinada por su novio John Poulos la madrugada del 22 de enero. Según la información emitida por el Instituto Nacional de Medicina Legal, la mujer habría sido golpeada en varias partes de su cuerpo antes de causarle la muerte producto de un ahorcamiento.",Familiares y amigos cargan el ataÃºd donde reposa el cuerpo de la DJ Valentina Trespalacios.,https://eltiempo.com/bogota/los-reveladores-detalles-de-la-necropsia-de-la-dj-valentina-trespalacios-737163,eltiempo,eltiempo.com,9,32
abcf2e46ed96ad420335878d0ef59a49,"Aunque el 27 de octubre de 2022, tras la llegada del gobierno del presidente Gustavo Petro, la junta directiva manifestó su respaldo al equipo directivo de Ecopetrol y a su presidente Felipe Bayón, en la reunión que se realizó este jueves se tomó la decisión de que no continúe en el cargo.Estará al frente de la petrolera hasta el próximo 31 de marzo, día en el que tradicionalmente se realiza la Asamblea General de Accionistas de cada año. (Lea también: Ecopetrol: ¿cuántos recursos le dejará la petrolera a la Nación en el 2023?)","Felipe BayÃ³n, presidente de Ecopetrol.",https://eltiempo.com/economia/sectores/que-viene-ahora-para-ecopetrol-con-la-salida-de-felipe-bayon-737178,eltiempo,eltiempo.com,3,42
490e311406e266114f5d1b67bc22a2f5,"Rusia lanzó este lunes una oleada de bombardeos coordinados y mortales contra varias ciudades de Ucrania, incluida la capital, Kiev, en represalia por una explosión que destruyó parcialmente el estratégico puente de Crimea. La mayor campaña de ataques en toda Ucrania en meses, que dejó al menos ocho muertos en Kiev, coincidió con una reunión del Consejo de Seguridad del presidente ruso Vladimir Putin, convocada tras la explosión en el puente de Kerch.",EFE,https://eltiempo.com/mundo/europa/24-heridos-y-8-muertos-en-bombardeos-contra-kiev-708576,eltiempo,eltiempo.com,1,44
fea4430ff6f0ec73276eb607ca5bbf33,"Bloqueos11:25 p. m. Bloqueos en vías nacionales del país: ¿qué está pasando?Las protestas en Córdoba, Sucre, la Guajira y Santander han dejado inc ...Bloqueo11:21 p. m. Atención: tras nueva mesa de diálogo, se levanta el bloqueo en la Ruta del SolViceministra del Interior afirmó que se llegó a un acuerdo con los líd ...Medellín08:03 p. m. Mujer en vestido de baño pasea por Medellín en moto, sin casco y haciendo piquesAntioquia07:40 p. m. Secretario del concejo de Jericó es enviado a prisión por presunto abuso a menorAdolescentes07:11 p. m. Dos menores, presuntos implicados en violación a una niña de 13 años",Cartagena es sorprendente,https://eltiempo.com/mas-contenido/cartagena-es-sorprendente-733478,eltiempo,eltiempo.com,2,48
6ca322340b430f7b9a942dfe8e2affc5,"Juan Guaidó ya no es presidente interino de Venezuela. (Lea aquí: Exclusivo: un general retirado será el nuevo embajador de Venezuela en Colombia)Los mismos diputados opositores se encargaron de eliminar esa figura el 30 de diciembre y solo quedaron con el parlamento electo en 2015, que se venció constitucionalmente en 2020. (Vea también: Parlamento opositor venezolano designa a nuevo 'embajador' en Estados Unidos)",Cortesía,https://eltiempo.com/mundo/venezuela/guaido-habla-tras-salida-de-la-presidencia-interina-de-venezuela-737075,eltiempo,eltiempo.com,1,34
03de3625fc593798cab128c63a3b495a,"Más de 1.000 obras serán entregadas por la Gobernación de Cundinamarca a los 116 municipios del departamento para mejorar la calidad de vida de alrededor de 1’338.000 personas. A la fecha ya se han puesto a disposición de la ciudadanía 398 infraestructuras, y se espera cumplir con la meta el próximo mes. La inversión supera los 150.000 millones de pesos. (Lea también: La encrucijada de Cajicá: sin agua y con 2.500 licencias de construcción)",MÃ¡s de 600 placa huella serÃ¡n entregadas en los 116 municipios de Cundinamarca.,https://eltiempo.com/bogota/mas-de-1-000-obras-seran-entregadas-en-los-116-municipios-de-cundinamarca-737169,eltiempo,eltiempo.com,5,31
ccbc4ca927ffad23483bf9b7285601c3,"Después de cuatro días de manifestaciones y bloqueos sobre la Ruta del Sol, en el sector La Lizama en Santander, líderes de las protestas y una delegación del Gobierno Nacional llegaron a un acuerdo.",Cientos de vehÃ­culos estÃ¡ atrapados en la Ruta del Sol,https://eltiempo.com/colombia/santander/ruta-del-sol-se-levanta-el-bloqueo-en-la-via-737200,eltiempo,eltiempo.com,4,17
81c811ac6806191debdcc4f6f8ee0090,"Desde hace semanas las vías principales del país se encuentran bloqueadas debido a una serie de protestas en distintas regiones. La situación más grave se presenta en Santander, donde los habitantes de Barrancabermeja denunciaron que se encuentran sin gasolina y otros elementos esenciales. Las manifestaciones en este departamento se iniciaron desde comienzos de año debido a un proyecto minero a cielo abierto que se realizaría en Carmen y San Vicente de Chucurí, municipios de Santander.(Siga leyendo: Se agrava la crisis en Barranca: hay pérdida de insumos y bloqueo de motos). ",Barrancabermeja sufriÃ³ desabastecimiento de alimentos.,https://eltiempo.com/colombia/otras-ciudades/bloqueos-en-vias-nacionales-del-pais-que-esta-pasando-737105,eltiempo,eltiempo.com,3,49
d20aa1e885b63ee5cf4247aa8fd5fd61,"Los soonicorns son las empresas que pronto serán unicornios, es decir, que pronto estarán valoradas por más de 1.000 millones de dólares en el mercado.",JuliÃ¡n Melo es el cofundador y CEO de Ubits.,https://eltiempo.com/tecnosfera/novedades-tecnologia/ubits-el-soonicorn-de-cursos-estrenara-plataforma-737186,eltiempo,eltiempo.com,4,10
